seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
3,0,0.4875,0.475,0.5
3,1,0.496875,0.45,0.54375
3,2,0.5,0.45625,0.54375
3,3,0.5,0.475,0.525
3,4,0.4875,0.4875,0.4875
3,5,0.484375,0.45,0.51875
3,6,0.5,0.4875,0.5125
3,7,0.465625,0.475,0.45625
3,8,0.49375,0.5,0.4875
3,9,0.453125,0.45625,0.45
3,10,0.5125,0.5375,0.4875
3,11,0.515625,0.5375,0.49375
3,12,0.5125,0.55625,0.46875
3,13,0.515625,0.5375,0.49375
3,14,0.484375,0.5125,0.45625
3,15,0.546875,0.56875,0.525
3,16,0.51875,0.50625,0.53125
3,17,0.54375,0.5125,0.575
3,18,0.4875,0.48125,0.49375
3,19,0.48125,0.45,0.5125
3,20,0.4875,0.48125,0.49375
3,21,0.525,0.54375,0.50625
3,22,0.490625,0.48125,0.5
3,23,0.503125,0.51875,0.4875
3,24,0.5,0.5,0.5
3,25,0.5,0.45625,0.54375
3,26,0.48125,0.48125,0.48125
3,27,0.4875,0.4875,0.4875
3,28,0.4875,0.49375,0.48125
3,29,0.4875,0.5,0.475
3,30,0.471875,0.48125,0.4625
3,31,0.471875,0.4875,0.45625
3,32,0.496875,0.49375,0.5
3,33,0.4625,0.48125,0.44375
3,34,0.484375,0.49375,0.475
3,35,0.490625,0.49375,0.4875
3,36,0.4875,0.46875,0.50625
3,37,0.49375,0.48125,0.50625
3,38,0.4625,0.41875,0.50625
3,39,0.4875,0.45,0.525
3,40,0.48125,0.43125,0.53125
3,41,0.4875,0.44375,0.53125
3,42,0.475,0.45625,0.49375
3,43,0.503125,0.45625,0.55
3,44,0.48125,0.45625,0.50625
3,45,0.515625,0.5,0.53125
3,46,0.49375,0.475,0.5125
3,47,0.509375,0.50625,0.5125
3,48,0.525,0.5125,0.5375
3,49,0.525,0.5125,0.5375
3,50,0.503125,0.4875,0.51875
3,51,0.490625,0.48125,0.5
3,52,0.509375,0.475,0.54375
3,53,0.503125,0.475,0.53125
3,54,0.534375,0.51875,0.55
3,55,0.503125,0.4875,0.51875
3,56,0.509375,0.5,0.51875
3,57,0.5125,0.50625,0.51875
